country,acronym,population,production-based_PDF,PDF_footprint,net_importer,percapite_production_based_PDF,percapita_PDF_footprint,percapita_net_trade,Indicator_Name,Indicator_Code,GNI_percapita_PPP,Adj_netNationalIncome_percapita
Cambodia,KHM,16486542,8.5846e-5,7.40012e-5,-1.18449e-5,5.20704e-12,4.48858e-12,-7.1845e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4187.775988384557,1318.736981324462
Myanmar,MMR,54045422,2.178927e-4,1.835371e-4,-3.43556e-5,4.03166e-12,3.39597e-12,-6.3568e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4668.941620103147,1252.9271123642488
Somalia,SOM,15442906,6.81413e-5,5.94355e-5,-8.7058e-6,4.41247e-12,3.84872e-12,-5.6374e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Uganda,UGA,44269587,4.67228e-5,3.35745e-5,-1.31482e-5,1.05541e-12,7.5841e-13,-2.97e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2190.2608933586325,801.1552386803239
Tanzania,TZA,58005461,2.616764e-4,2.498996e-4,-1.17769e-5,4.51124e-12,4.3082e-12,-2.0303e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2537.38989257813,889.172729492188
Mali,MLI,19658023,1.69794e-5,1.34118e-5,-3.5676e-6,8.6374e-13,6.8225e-13,-1.8148e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2131.3248255375356,620.5615657432486
Ethiopia/DR Ethiopia (1992/1993),ETH,112078727,2.52497e-4,2.387601e-4,-1.37369e-5,2.25285e-12,2.13028e-12,-1.2256e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2168.3797869085174,675.7590432234163
Eritrea,ERI,3497117,1.10239e-5,1.08734e-5,-1.505e-7,3.15228e-12,3.10924e-12,-4.303e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Burundi,BDI,11530577,2.36597e-5,2.37061e-5,4.64e-8,2.05191e-12,2.05593e-12,4.02e-15,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,732.0425961544674,198.65465933546173
Rwanda,RWA,12626938,3.09134e-5,3.13245e-5,4.112e-7,2.44821e-12,2.48077e-12,3.256e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2117.9853719388266,697.3246268761985
Turkey,TUR,83429607,0.0010124304,0.0010155917,3.1613e-6,1.213515e-11,1.217303e-11,3.789e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Burkina Faso,BFA,20321383,1.04404e-5,1.16766e-5,1.2362e-6,5.1377e-13,5.7459e-13,6.083e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1993.4790065258812,644.6524093400359
Niger,NER,23310719,1.16488e-5,1.33362e-5,1.6875e-6,4.9972e-13,5.721e-13,7.239e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1271.7329380511246,525.0798761856482
India,IND,1366417756,0.0034745212,0.003612401,1.378798e-4,2.5428e-12,2.6437e-12,1.009e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,6554.320413078902,1711.3920684128484
DR Congo,COD,86790568,3.196042e-4,3.294735e-4,9.8694e-6,3.68248e-12,3.79619e-12,1.1371e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,998.1224509903896,419.823943566162
Mexico,MEX,127575529,0.0036862525,0.0037015936,1.53411e-5,2.889467e-11,2.901491e-11,1.2025e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,19471.08158009015,7986.800623287184
Togo,TGO,8082359,5.7947e-6,6.86e-6,1.0654e-6,7.1695e-13,8.4876e-13,1.3181e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2079.602947918301,772.5090388057583
Chad,TCD,15946882,6.8921e-6,9.7245e-6,2.8324e-6,4.3219e-13,6.098e-13,1.7760999999999999e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1538.0142431388467,466.59576831063833
Benin,BEN,11801151,4.1226e-6,6.5059e-6,2.3833e-6,3.4934e-13,5.5129e-13,2.0195e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3124.6913484584225,1025.99904844824
Bulgaria,BGR,6975761,3.29646e-5,3.4687e-5,1.7224e-6,4.72559e-12,4.9725e-12,2.4691e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,22590.949187182385,7119.924193683326
Malawi,MWI,18628749,1.99152e-5,2.47888e-5,4.8736e-6,1.06906e-12,1.33067e-12,2.6161e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Croatia,HRV,4065253,2.62342e-5,2.73887e-5,1.1544e-6,6.45328e-12,6.73726e-12,2.8397e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,29373.03219496916,12223.51023831132
Sudan/North Sudan (2010/2011),SDN,42813237,3.39186e-5,4.61388e-5,1.22202e-5,7.9225e-13,1.07767e-12,2.8543e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3939.33959960938,1287.49194335938
Afghanistan,AFG,38041757,9.7058e-5,1.080222e-4,1.09642e-5,2.55135e-12,2.83956e-12,2.8821e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Haiti,HTI,11263079,2.875566e-4,2.908855e-4,3.3289e-6,2.553091e-11,2.582646e-11,2.9555e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3122.5533578316513,1372.2235710528334
North Korea,PRK,25666158,2.11711e-5,2.87667e-5,7.5955e-6,8.2486e-13,1.1208e-12,2.9593e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Guinea,GIN,12771246,2.55517e-5,2.9333e-5,3.7813e-6,2.00072e-12,2.29679e-12,2.9607e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2436.3894356928568,732.2868580673206
Kenya,KEN,52573967,1.021151e-4,1.184726e-4,1.63576e-5,1.94231e-12,2.25344e-12,3.1113e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4527.724841875569,1362.8583551001643
Tajikistan,TJK,9321023,4.03721e-5,4.37485e-5,3.3763e-6,4.3313e-12,4.69352e-12,3.6222e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4110.545243840092,1154.558622806979
Pakistan,PAK,216565317,1.104653e-4,1.933574e-4,8.28921e-5,5.1008e-13,8.9283e-13,3.8275e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5067.070251422379,1188.4542055073057
Ghana,GHA,30417858,1.138386e-4,1.256653e-4,1.18267e-5,3.74249e-12,4.1313e-12,3.888e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5121.491224841668,1557.0059881430443
Nepal,NPL,28608715,1.308966e-4,1.442342e-4,1.3337600000000001e-05,4.57541e-12,5.04161e-12,4.662e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3963.2261020882593,1061.3409551186696
Gambia,GMB,2347696,1.1306e-6,2.2407e-6,1.1101e-6,4.816e-13,9.5444e-13,4.7284e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2049.419806902422,503.5411339153964
Zambia,ZMB,17861034,3.88247e-5,4.73019e-5,8.4773e-6,2.17371e-12,2.64833e-12,4.7462e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Nigeria,NGA,200963603,7.23102e-5,1.777186e-4,1.054084e-4,3.5982e-13,8.8433e-13,5.2451e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4914.227712918329,1791.9476500513597
Bosnia and Herzegovina,BIH,3300998,2.4253e-5,2.604e-5,1.7869e-6,7.34718e-12,7.88851e-12,5.4133e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14828.72897378152,4805.945966198054
Azerbaijan,AZE,10024283,1.11702e-4,1.182862e-4,6.5842e-6,1.114314e-11,1.179996e-11,6.5682e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Slovakia,SVK,5454147,2.64053e-5,3.00441e-5,3.6388e-6,4.84133e-12,5.50848e-12,6.6715e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,14463.283534981843
Senegal,SEN,16296362,7.7331e-6,1.99394e-5,1.22062e-5,4.7453e-13,1.22354e-12,7.4901e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3342.119768811555,1231.2662635249528
Belarus,BLR,9419758,2.86847e-5,3.59371e-5,7.2524e-6,3.04516e-12,3.81508e-12,7.6991e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,18714.05988743788,5161.7458338110955
Bangladesh,BGD,163046173,2.438962e-4,3.720845e-4,1.281883e-4,1.49587e-12,2.28208e-12,7.862e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5689.300542092609,1388.93694489749
Macedonia,MKD,2076694,1.51166e-5,1.675e-5,1.6333e-6,7.27919e-12,8.06569e-12,7.865e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,15981.280822726056,4553.958056844183
Mozambique,MOZ,30366043,8.89409e-5,1.133889e-4,2.4448e-5,2.92896e-12,3.73406e-12,8.0511e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1265.0711186937988,425.7095958851645
Kyrgyzstan,KGZ,6456200,8.51778e-5,9.13275e-5,6.1497e-6,1.319318e-11,1.41457e-11,9.5252e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4756.633268021608,997.1583986233647
Albania,ALB,2854191,3.75116e-5,4.06775e-5,3.1659e-6,1.314263e-11,1.425185e-11,1.10922e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,13481.971795902571,3627.856112887788
Morocco,MAR,36471766,1.199646e-4,1.654793e-4,4.55147e-5,3.28925e-12,4.53719e-12,1.24794e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,8093.2587890625,2754.27587890625
Hungary,HUN,9771141,2.6568e-5,3.87712e-5,1.22032e-5,2.71903e-12,3.96792e-12,1.24889e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,31789.809438158813,12079.62855349146
Yemen Arab Republic/Yemen (1990/1991),YEM,29161922,6.39112e-5,1.003846e-4,3.64734e-5,2.1916e-12,3.44231e-12,1.25072e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
USSR/Russian Federation (1990/1991),RUS,144406261,3.15895e-4,5.071765e-4,1.912815e-4,2.18754e-12,3.51215e-12,1.3246e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,26364.470703125,7631.9375
Angola,AGO,31825299,7.26604e-5,1.208148e-4,4.81543e-5,2.2831e-12,3.79618e-12,1.51308e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5918.032995564939,2693.4259492453702
Tunisia,TUN,11694721,4.40299e-5,6.27223e-5,1.86924e-5,3.76494e-12,5.36329e-12,1.59836e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,10821.414696625763,3841.133718519168
Zimbabwe,ZWE,14645473,1.36655e-5,3.71818e-5,2.35163e-5,9.3309e-13,2.53879e-12,1.6057e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2156.4318615498764,1038.4915109071956
Mauritania,MRT,4525698,3.2952e-6,1.08998e-5,7.6046e-6,7.2811e-13,2.40842e-12,1.68031e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5432.671931930692,1772.25642537903
Egypt,EGY,100388076,2.8497e-6,1.723031e-4,1.694534e-4,2.839e-14,1.71637e-12,1.68798e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11376.214155095073,3025.5955357755593
Poland,POL,37965475,7.69656e-5,1.479138e-4,7.09482e-5,2.02725e-12,3.896e-12,1.86875e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,31772.48862930768,12807.927331529305
Iraq,IRQ,39309789,1.81262e-5,1.079052e-4,8.9779e-5,4.6111e-13,2.74499e-12,2.28388e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,10236.623354564652,6087.361319880036
Armenia,ARM,2957728,2.9968e-5,3.68626e-5,6.8946e-6,1.013212e-11,1.246314e-11,2.33103e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14521.83831795098,4013.7441663828913
Latvia,LVA,1913822,4.1159e-6,8.6023e-6,4.4863e-6,2.15064e-12,4.4948e-12,2.34416e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,30569.806307049792,12924.726533750656
China,CHN,1408385446,0.0047240633,0.0080306702,0.0033066069,3.35424e-12,5.70204e-12,2.3478e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,15933.621462497116,7452.422743980043
Algeria,DZA,43053054,1.12534e-5,1.169816e-4,1.057282e-4,2.6138e-13,2.71715e-12,2.45576e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11353.521809506436,3487.892627272166
Uzbekistan,UZB,33580350,1.010307e-4,1.894944e-4,8.84637e-5,3.00863e-12,5.64301e-12,2.63438e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Lithuania,LTU,2794137,8.3633e-6,1.57983e-5,7.435e-6,2.99315e-12,5.65407e-12,2.66092e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,35897.09848199551,14562.664382250376
Jordan,JOR,10101697,3.5775e-6,3.18083e-5,2.82308e-5,3.5415e-13,3.14881e-12,2.79466e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Viet Nam,VNM,96462108,7.491461e-4,0.0010329467,2.838006e-4,7.76622e-12,1.070831e-11,2.94209e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,9733.78672313244,2136.0541604989444
Bhutan,BTN,763094,1.0828e-5,1.34428e-5,2.6148e-6,1.418959e-11,1.761621e-11,3.42662e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,10730.472145867336,2621.1923315696813
Palestine,PSE,4685306,0,1.60992e-5,1.60992e-5,0,3.43611e-12,3.43611e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,7355.601356136419,NA
Italy,ITA,59729081,5.535718e-4,7.624234e-4,2.088516e-4,9.26804e-12,1.276469e-11,3.49664e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,43102.26435603723,26882.764105313803
Oman,OMN,4974992,3.8001e-6,2.25651e-5,1.8765e-5,7.6384e-13,4.5357e-12,3.77186e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,31512.600323110364,10863.325343933166
Cyprus,CYP,1198574,1.14223e-5,1.60714e-5,4.6491e-6,9.52995e-12,1.340878e-11,3.87883e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,39466.94921875,23688.64453125
Djibouti,DJI,973557,1.4194e-6,5.2667e-6,3.8473e-6,1.45793e-12,5.40971e-12,3.95178e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4622.513134209223,2617.882412878679
Lebanon,LBN,6855709,1.77739e-5,4.51309e-5,2.7357e-5,2.59256e-12,6.58296e-12,3.99039e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,16724.409053053485,6798.8226329465715
Slovenia,SVN,2088385,7.6693e-6,1.6246e-5,8.5768e-6,3.67234e-12,7.77923e-12,4.10688e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,38436.08762112807,19280.284502245675
United States of America,USA,328329953,0.0024007232,0.0037869535,0.0013862302,7.31192e-12,1.153398e-11,4.22206e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,63654.319776608405,51954.11154578453
Iran,IRN,82913893,2.223058e-4,5.759835e-4,3.536777e-4,2.68116e-12,6.94676e-12,4.2656e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
